"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 15 18:54:15 CET 2021","Mon Feb 15 18:54:25 CET 2021","10435","","DSL Calculator Load All Tariff verification","","DSL Calculator Load All Tariff verification","Ensure all the displayed tariffs have bandwidth greater than 100","Ensure all the displayed tariffs have bandwidth greater than 100",""
"passed","Mon Feb 15 18:53:42 CET 2021","Mon Feb 15 18:53:42 CET 2021","14","","Ensure 10409 and 77716 postcode returns respective cities and streets from those cities are correct","","Ensure 10409 and 77716 postcode returns respective cities and streets from those cities are correct","Get Cities and iterate those cities. For each of the city get Streets and ensure street name is string and it retains umlaut character ","Get Cities and iterate those cities. For each of the city get Streets and ensure street name is string and it retains umlaut character ",""
"passed","Mon Feb 15 18:53:42 CET 2021","Mon Feb 15 18:53:42 CET 2021","55","","Ensure 10409 and 77716 post codes returns respective cities","","Ensure 10409 and 77716 post codes returns respective cities","Ensure that each city returned for given post code is in string form. Ensure each post code returns correct cities","Ensure that each city returned for given post code is in string form. Ensure each post code returns correct cities",""
"passed","Mon Feb 15 18:53:38 CET 2021","Mon Feb 15 18:53:46 CET 2021","7856","","DSL Calculator verification","","DSL Calculator verification","open www.verivox.de ","open www.verivox.de ",""
"passed","Mon Feb 15 18:54:25 CET 2021","Mon Feb 15 18:54:44 CET 2021","18846","","DSL Calculator Load All Tariff verification","","DSL Calculator Load All Tariff verification","Keep loading more items until all items are loaded.And ensure all tariffs have bandwith greater or equal to 100. Check Weiter button loads correct number of tariffs","Keep loading more items until all items are loaded.And ensure all tariffs have bandwith greater or equal to 100. Check Weiter button loads correct number of tariffs",""
"passed","Mon Feb 15 18:53:54 CET 2021","Mon Feb 15 18:54:14 CET 2021","20676","","DSL Calculator Load All Tariff verification","","DSL Calculator Load All Tariff verification","Enter 030 for my area code # Ihre Vorwahl = your area code AND select the 100 Mbit/s option as bandwidth.","Enter 030 for my area code # Ihre Vorwahl = your area code AND select the 100 Mbit/s option as bandwidth.",""
"passed","Mon Feb 15 18:54:19 CET 2021","Mon Feb 15 18:54:19 CET 2021","337","","DSL Calculator verification","","DSL Calculator verification","Ensure at least 1 Verivox recommended tariffs are loaded and at least 5 tariffs in Ermittelte for given bandwidth are loaded","Ensure at least 1 Verivox recommended tariffs are loaded and at least 5 tariffs in Ermittelte for given bandwidth are loaded",""
"passed","Mon Feb 15 18:53:38 CET 2021","Mon Feb 15 18:53:47 CET 2021","9047","","DSL Calculator Load All Tariff verification","","DSL Calculator Load All Tariff verification","open www.verivox.de ","open www.verivox.de ",""
"passed","Mon Feb 15 18:54:19 CET 2021","Mon Feb 15 18:54:28 CET 2021","8684","","DSL Calculator verification","","DSL Calculator verification","Ensure that all the tariffs loaded have bandwidth greater or equal than 100","Ensure that all the tariffs loaded have bandwidth greater or equal than 100",""
"passed","Mon Feb 15 18:53:47 CET 2021","Mon Feb 15 18:53:54 CET 2021","6417","","DSL Calculator Load All Tariff verification","","DSL Calculator Load All Tariff verification","Navigate to the DSL calculator page using Menu navigation DSL --> Dsl-vergleich","Navigate to the DSL calculator page using Menu navigation DSL --> Dsl-vergleich",""
"passed","Mon Feb 15 18:54:14 CET 2021","Mon Feb 15 18:54:15 CET 2021","305","","DSL Calculator Load All Tariff verification","","DSL Calculator Load All Tariff verification","Ensure at least 1 Verivox recommended tariffs are loaded and at least 5 tariffs in Ermittelte for given bandwidth are loaded","Ensure at least 1 Verivox recommended tariffs are loaded and at least 5 tariffs in Ermittelte for given bandwidth are loaded",""
"passed","Mon Feb 15 18:53:53 CET 2021","Mon Feb 15 18:54:19 CET 2021","26194","","DSL Calculator verification","","DSL Calculator verification","Enter 030 for my area code # Ihre Vorwahl = your area code AND select the 100 Mbit/s option as bandwidth.","Enter 030 for my area code # Ihre Vorwahl = your area code AND select the 100 Mbit/s option as bandwidth.",""
"passed","Mon Feb 15 18:53:46 CET 2021","Mon Feb 15 18:53:53 CET 2021","6686","","DSL Calculator verification","","DSL Calculator verification","Navigate to the DSL calculator page using Menu navigation DSL --> Dsl-vergleich","Navigate to the DSL calculator page using Menu navigation DSL --> Dsl-vergleich",""
